ParentLocation,Location,other_1,other_2,SDG1.a,SDG16.1,SDG3.1_1,SDG3.2_1,SDG3.2_2,SDG3.2_3,SDG3.3_1,SDG3.3_2,SDG3.3_3,SDG3.3_4,SDG3.3_5,SDG3.4_1,SDG3.4_2,SDG3.4_3,SDG3.4_4,SDG3.4_5,SDG3.4_6,SDG3.5,SDG3.6,SDG3.8_1,SDG3.8_2,SDG3.9_1,SDG3.9_3,SDG3.b_1,SDG3.b_2,SDG3.b_3,SDG3.b_4,SDG3.c_1,SDG3.c_2,SDG3.c_3,SDG3.c_4,SDG3.d_1,SDG3.7,SDG3.a,SDG3.1_2,SDG3.b_5
Eastern Mediterranean,Afghanistan,61.65,15.59,2.14,9.02,673,134.80205447830102,230.59499076638966,175.3404893813481,0.03,189,23.52,0.5,13275429,245.2,20.458217913204063,186.13227146814404,22.215489381348107,4.01,1159.64,0,14.81,48.57,37,0.98,13.92,5.82,40,66,62,2.78,1.48,0.034,0.47,42,97.20786117927707,14.358805716327618,66.57461483931976,68.86648154460929
Europe,Albania,77.84,21.13,9.62,3.78,16,7.552973342447027,11.312371838687628,10.047846889952153,0.04,17,-31.993667247572315,1.29,21,96.41,7.194121667805878,498.42788790157215,30.2323991797676,4.69,229.24,6.4,13.82,31.43,59,0.32,0.17,0.63,98,98,98,12.16,36.5,5.16354429959427,6.488551193115798,82.02703678947934,17.3,29.7,94.66753933832963,56.50276549990706
Africa,Algeria,76.54,21.81,10.73,1.66,113,37.99931044673201,61.628823326601974,53.23843766930996,0.05,70,0,0.22,10752,95.03,15.411515539575431,201.15746441412597,15.6627099443432,2.55,1447.79,0.6,21.05,35.71,78,0.71,1.87,0.02,96,91,61,18.33,22.43,4.2627421848588956,5.606084170646372,73,43.97764255123269,19.1,87.91191792214921,65.47075943129956
Africa,Angola,61.72,16.71,5.43,9.82,246,124.85336480061085,341.3389789331205,228.84114809287476,0.95,362,205.5,4.85,14419092,238,16.242668240030543,89.09172942768889,14.843994030472356,6.23,679.18,8.8,24.75,31.43,40,2.25,48.81,1.57,26,59,55,-5.914274138864215,-9.936513233507696,-1.0822422167010255,-0.7075023429806349,55.48743358334167,111.43513041230123,13.592515160361916,61.05840918257836,68.24041432869346
Americas,Antigua and Barbuda,76.14,20.43,11.61,2.42,43,5.9405940594059405,10.891089108910892,9.900990099009901,0.12309509898889698,3.7,-29.025189960627326,0.38,176,119.9,61.64356435643565,202.67326732673268,25.73267326732673,0.54,5.145,7.8,0,24.29,73,0.77,0.11,2.610625964085904,68,92,85.61068879187653,27.541210060195976,44.87,5.0426941218400865,6.333691975815221,81,31.1,23.60170615625578,94.2090914132015,55.9984579044052
Americas,Argentina,76.17,20.98,13.47,6.23,40,11.00645426140899,18.74016466348895,16.694414669190593,0.14,27,0,0.01,80002,111.4,23.080256345930167,229.4775013113782,86.8383241726914,8.27,2717.67,9.6,14.06,34.29,76,0.44,0.36,0.01,88,92,82,40.01,25.82,5.358117021398975,6.647961453436057,76,25.93559958496245,23.6,98.4,56
Europe,Armenia,74.51,19.42,6.05,3.8,26,10.837606837606838,20.068376068376068,17.88034188034188,0.06,44,0,0.25,39149,116.4,40.61538461538462,470.35897435897436,47.14529914529915,5.71,256.76,5,15.7,44.29,69,0.81,0.18,5.03,97,94,94,27.419268629332535,45.21,4.974501742951233,6.1820987884828895,81.64745852756766,24.5,27.5,94.7389734835877,52.70761393544027
Western Pacific,Australia,82.28,25.01,17.49,0.99,6,3.046505844317334,4.9282931277460005,4.169775346099644,0.04,6.5,-76.179092218402,0.15,20994,60.73,20.17325706706458,183.3416231451546,49.70156677443422,12.17,1432.85,10.8,5.57,54.29,87,0.15,0.095,0.6209423728190919,94,94,94,35.67,124.1,5.86,8.64,100,10.3,17.1,97,86
Europe,Austria,80.98,23.59,14.96,0.53,5,2.1694214876033056,3.535353535353535,2.9269972451790633,0.14307221497720551,8.1,-97.24609522940297,0.32,118,61.89,40.0137741046832,393.90495867768595,48.955463728191,15.53,761.14,12.1,5.17,41.43,79,0.13,0.12,1.7776449616069487,89,87,87.45804566684544,51.23,70.18,5.66,7.08,87,7.2,30.7,98.4,49.14107616829036
Europe,Azerbaijan,70.67,16.62,3.29,2.53,26,23.81491002570694,44.40102827763496,39.48586118251928,0.07,66,0,0.27,1719031,117.6,28.10282776349614,522.6940874035989,24.380462724935732,3.99,727.28,0.5,8.68,32.86,65,0.91,1.12,0.39,98,97,97,24.098419085532694,49.11970833246971,4.392851671508171,5.555443480888264,78.9680451607738,52.8,20.3,99.8,55.83687112607356
Americas,Bahamas,72.92,20.88,14.56,32.36,72,9.974424552429667,18.67007672634271,16.112531969309465,0.1687997536037032,27,-19.235611657846352,0.31,4077,159.2,43.37595907928388,201.20204603580567,12.025575447570333,3.57,17.95,4.7,8.2,32.86,75,0.18,0.069,2.79132199473366,74,94,94,26.251748877137643,53.80582362996031,4.8072359347542974,6.0639883795107385,75,34.00507208854986,10.9,99,19
Eastern Mediterranean,Bahrain,76.46,19.67,8.49,0.36,15,4.842105263157895,11.157894736842104,9.614035087719298,-0.36624884335402097,12,-40.46874154080592,0.18,3,56.81,45.69122807017544,77.6842105263158,10.161403508771931,7.66,31.27,1.4,6.94,32.86,77,0.22,0.04,1.850460384597478,99,99,99,30.411162746521917,63.363678344025345,5.631970385531272,7.1130235282337475,96,13.9,25.3,99.7,59.59166134198
South-East Asia,Bangladesh,73.58,20.9,3.02,2.82,186,39.35760223869606,65.23945701801757,53.3703176395503,0.3043180513494987,221,1.93,1.38,47484224,130.2,16.0194413078698,145.41644165152928,31.26503510236143,3.39,4870.78,0,15.8,52.86,48,0.29,11.94,1.25,92,98,97,4.97,2.64,0.44,3.9571694707264524,76,108,40.1,49.8,63.70162705741554
Americas,Barbados,76.22,21.4,9.29,11.18,30,9.824561403508772,14.736842105263158,13.68421052631579,0.22,1.2,-60.97763571849306,0.34,1433,100.4,94.80701754385964,325.05263157894734,40.35087719298245,0.62,26.01,10,5.6,37.14,77,0.61,0.16,2.5454297921159545,87,97,96,30.44774525343448,60.779873617833594,5.51111000026091,6.770515359337132,84,23.03124173194067,8.8,99.1,15
Europe,Belarus,73.82,19.23,10.31,3.63,3,1.8354430379746836,4.609704641350211,3.4704641350210967,0.24,42,-77.03832326749414,0.2,0,160.6,4.734177215189874,795,24.018987341772153,24.19,1102.06,11.1,8.91,42.86,76,3.54,0.052,0.6,98,98,83.18571425177345,30.139485739748483,57.756518579878986,5.3388184470898,6.387556521041291,84.21972466784547,16,27.5,99.33107471127855,41.99017876607765
Europe,Belgium,80.71,23.59,14.72,1.44,5,2.4123965486881493,4.199683042789223,3.3808769149498152,-0.22763667039028312,10,-94.56539618073658,0.18,20,71.56,13.83166050360979,271.1216763514703,77.65451664025356,19.27,947.33,11.8,5.79,44.29,84,0.31,0.28,1.3445399694517355,85,98,94,30.68,73.78145546717816,7.47,12.22,82,6.2,25.5,102.86601381825332,67
Americas,Belize,74.05,21.47,11.99,35.5,39,20.708446866485012,31.062670299727518,26.702997275204357,0.16741558297048403,37,0.016,1.49,7312,179.3,40.08174386920981,97.4659400544959,15.896457765667577,5.84,10.53,7.2,28.19,35.71,64,0.3,0.97,8.41,96,95,83.98532726191162,21.375861356373466,21.44,3.946199894248906,5.124620259767826,76.66967539771231,69.2,20.884451708399986,87.64252522481068,60.5989774668419
Africa,Benin,61.96,17.01,3.73,6.39,408,118.22111846946284,350.07358351729215,229.4701986754967,0.39,59,444.5,5.55,6938376,242.4,21.10927152317881,120.99889624724062,20.318248712288447,8.03,344.62,2.6,27.46,41.43,40,2.84,59.73,4.39,52.21104838671519,76,73,0.48,7.6,0.008,0.012,28,108,7.8,58.35706066094603,76.92753813772607
South-East Asia,Bhutan,72.15,19.16,8.3,1.66,193,29.573934837092732,51.50375939849624,42.73182957393484,0.12859311589665307,193,0.028,0.81,241761,207,23.23308270676692,142.35588972431077,71.441102756892235,4.47,29.51,0.3,18.87,41.43,62,0.27,3.95,2.57,90,98,83.40204582226853,4.06,15.33,3.4354412768736386,0.31,76,53.56701717351011,19.321072896692527,89,98
Americas,Bolivia (Plurinational State of),71.52,18.51,11.09,8.52,161,37.49081557678178,66.8626010286554,54.21565025716385,0.1,114,1.5,0.2,1879813,182.2,56.55767817781043,185.6998530492285,44.076047024246876,6.63,568.16,4.2,15.29,50,68,0.63,5.58,1.69,78.7590958837941,87,87,15.9,11.18,2.2,2.25,77,48.71909064018917,21.78008764935648,89.8,57.61198751737137
Europe,Bosnia and Herzegovina,76.32,19.85,15.49,1.64,10,3.696332101222633,5.231731589422803,4.464031845322718,0.94874635875748,33,-54.91382638357207,0.3,0,92.03,69.91754336081888,532.7836224054591,34.74552175149275,10.51,340.95,7.2,16.3,35.71,61,0.4,0.079,9.93,78,78,83.11646354681424,27.992483836636403,54.73,4.983490032066725,6.03929948818785,57,11,39.1,99.9,45.520134216825454
Africa,Botswana,60.93,15.89,11.21,16.94,151,44,109.24444444444445,82.62222222222222,6.27,326,0.81,0.19,261950,249.2,58.13333333333333,170.44444444444443,32.58666666666667,17.76,88.51,6.9,24.77,35.71,61,1.97,11.77,2.36,74,95,91,3.84,41.15,0.42,2.673775646593208,71.21073040018149,62.1685741388387,24.3,99.7,78
Americas,Brazil,75.13,21.42,9.97,32.95,62,13.70700158437393,23.253215701193817,20.75915108377919,0.25,43,3.22,0.07,10461013,142.8,31.4298372766105,180.23337009337692,41.62039556375299,5.99,9640.12,7.9,19.89,42.86,79,0.14,1.05,0.03,77,89,84,27.097150430333024,93.51,5.006860359352545,6.365052121986899,97,58.6,17.8,99.1,72
Western Pacific,Brunei Darussalam,74.4,19.03,6.15,1.31,31,8.51063829787234,17.257683215130022,14.184397163120567,-0.5340594890761732,66,-10.277991802110325,0.34,9240,97.7,46.832151300236404,121.9385342789598,22.60756501182033,2.56,15.76,0.5,9.05,35.71,81,0.39,0.045,2.0189040446658386,97,99,87.64834164928538,27.39966532536165,64.72,5.128258576217218,6.609962698683512,81.10249098425261,10.2,15.7,100,87
Europe,Bulgaria,74.55,19.4,11.79,1.41,10,3.5058196606366567,7.123825550413686,5.90380030851213,0.04,27,-110.377151298179,0.31,272,135.3,22.99817697377647,976.7494040106577,79.97475809844342,9.65,1019.66,12,10.21,42.86,66,0.42,0.13,3.193572822084363,88,92,90,33.082254493522846,43.31,5.8068448520020635,6.8127242414034415,86.75365622572687,38.2,40.1,103.25042432709222,3
Africa,Burkina Faso,60.92,16.44,11.03,9.75,331,107.02563552504559,366.49147270192,222.25678429690015,0.19,51,401.7,4.29,12492287,254.6,16.582645071328972,97.59733991204548,11.986485037005256,7.84,503.59,10.7,30.49,44.29,40,3.4,49.64,9.15,59,91,91,0.65,6.59,-0.4690999056725995,0.13,57.50878733555188,132.3,16.9,62.85718233156234,72.80889092008451
Africa,Burundi,62.05,16.18,8.52,6.37,558,90.93500570125427,250.24705435195742,175.0380083618396,0.29,118,229.6,2.59,5898120,290.2,14.557202584568605,89.39566704675028,20.686050931204864,6.41,261.67,7.2,34.81,40,42,3.5,65.4,9.57,72,94,94,-1.1067784889627283,0.7059016418989188,-0.14843729727237243,0.4516333990493555,62,100.58894319097783,13.2,65.06081573942325,70.38353367835698
Africa,Cabo Verde,74.88,21.69,10.39,12.2,59,21.85185185185185,36.2962962962963,31.111111111111114,0.21,58,0.35,0.71,145562,121.8,21.981481481481485,134.55555555555554,13.953703703703702,14.35,17.05,6.3,25.42,32.86,69,0.44,4.14,0.92,92,96,83.80689745083511,21.605399215852444,11.52,0.075,0.075,62,12,21.33079582789493,92.6,59.50038262212098
Western Pacific,Cambodia,69.17,17.57,6.32,2.44,168,37.98375840629362,69.80078670219515,59.97969800786702,0.08,348,16.93,0.56,4771389,170.5,25.104682146935666,155.66552467960918,25.859662479380788,5.07,597.72,6.6,17.78,44.29,60,0.5,6.47,3.01,67,93,87,16.562485624701942,7.2,3.0221352010029863,3.9939441053996823,55,57.179461414076265,23.6,83.48083803535086,59.244594837128794
Africa,Cameroon,59.11,16.41,5.34409064215662,6.93,538,104.15120098980331,306.70250437305344,203.1912624258714,1.04,203,247.4,1.9,19389766,341.4,28.76829216263492,111.81364392678869,18.563078629634372,9.22,713.29,6.1,29.53,34.29,46,2.8,45.15,2.22,55.535245866648424,75,72,-3.7504120123894182,-5.751794732029666,0.037,0.083,54,106.1589925209077,9.4,63.272370612895955,67.09076391870846
Americas,Canada,81.76,24.72,19.75,1.68,10,3.7007440066133923,5.508404519151282,4.808487186552769,-0.8196172246655791,5.5,-70.24974603009079,1.03,0,62.83,19.18434830531827,191.65885918985947,52.328465141912375,11.86,2395.79,9,5.82,40,89,0.3,0.37,0.9049346723216476,86,91,80,35.31641239701591,99.19,6.5747053192723826,8.268115633321331,100,8.4,19.1,97.8,79
Africa,Central African Republic,50.53,12.77,4.95,22.03,890,151.33841131664852,432.752992383025,309.6844396082698,1.5,540,348.6,6.62,3756993,411.9,29.815016322089228,180.80522306855278,39.54298150163221,13.73,183.99,2.4,34.07,28.57,33,3.15,82.11,10.62,35.36291120931071,42,43,-24.602279180232202,-49.83736312065218,-4.641644170032569,-5.0196909153009095,29,154.5537074240703,11.738399242516007,44.499204304464854,65.03947692787676
Africa,Chad,57.91,16.16,5.73,9.5,1140,152.5427246938352,526.1952535805715,317.01376876772986,0.45,144,194.1,3.08,6138675,359.7,15.664567909776517,96.58894347194354,19.463087248322147,6.65,382.41,1.6,27.4,35.71,28,3.76,101,4.16,41.72588156995436,41,70.63456250289026,0.37,2.13,-3.183786298400983,-3.0022486742542958,40,141.09848192771656,12.1,48.19579832214403,78.11421500552042
Americas,Chile,79.82,23.61,16.75,4.01,13,6.633165829145729,10.273590173087662,8.743718592964825,0.27,16,-73.26805905401807,0.28,44,87.43,27.64935790061418,157.98994974874373,38.75488553880514,9.99,888.08,9.2,12.33,42.86,70,0.3,0.2,0.01,87,95,93,45.88,112.4,10.5,4.7,79,33.4,45.5,99.7,75
Western Pacific,China,76.64,20.58,9.06,0.92,29,6.043934632974709,12.194783249434078,10.438106439282564,0.6567558626287725,63,0,0.83,26375574,80.36,15.14019618609693,287.7109142243777,69.42295497780597,8.16,84776.3,7.1,18.02,38.57,79,1.94,0.58,0.11,99,99,84.43243466573918,18.65,24.67,5.32248937233226,6.490550625728699,98,24.455045766591134,25.1,99.9,47.7237894522807
Americas,Colombia,78.35,23.42,19.09,43.07,84,12.543933570386203,23.040716913653835,19.809672579285962,0.26,33,10.83,0.21,3761361,137.1,14.235504490987195,137.64618831315642,36.112881014531474,4.23,1655.81,5.6,18.57,54.29,76,0.11,0.75,0.07,87,91,89,35.93,59.12249506592871,5.247351160906728,6.658291828231787,89,62,8.6,94.21974842902819,8
Africa,Comoros,66.45,17.92,3.63,7.95,279,104.64824120603015,224.12060301507537,170.35175879396985,0.01,35,1.34,1.96,527919,225,19.334170854271356,106.44472361809045,17.185929648241206,5.49,21.33,0.8,26.52,21.43,52,2.53,50.74,8.21,63.49653800905435,91,77.94833945091011,4.464932661451449,6.29,0.8543696235822629,1.5769317071836477,63.46232760032834,86.94141852989263,20.9,70.82643420253547,67.09060349508206
Africa,Congo,63.11,16.11,2.89,10.5,397,67.75263363246195,170.91299258681232,123.01989855637925,1.56,378,211.3,4.11,2278289,260.5,23.000390167772142,117.86968396410457,16.87085446742099,6.74,129.17,7.9,28.21,32.86,39,1.41,38.71,1.65,59.26975542740135,71,67,1.06,9.31,0.054,0.15,44,96.5603859243271,15.4,67.53374394527549,63.081002762787854
Americas,Costa Rica,80.78,24.87,28.55,11.72,28,9.038501132386248,13.032736256948734,11.035618694667491,0.18,9.4,0.002,0.17,24462,96.74,23.7183446571958,120.52707432571546,30.224418365246038,7.66,180.09,4.1,16.57,47.14,77,0.2,0.86,0.01,87,97,94,13.76,30.05,1.4,7.3,86,53.2,10.5,98.8,67.47642366735958
Europe,Croatia,77.58,21.05,11.88,1.22,7,2.75338238784714,4.533586517920721,3.821504865891289,0.02,12,-87.46555072030797,0.11,9,87.51,45.19344884880133,550.9138381201044,47.78067885117493,16.43,475.57,8.8,8.08,51.43,71,0.42,0.11,2.3613553803529603,96,93,85.75312681524996,30,81.22,5.973803298954125,7.242555491145078,71,9.6,36.3,99.9,46.57453218375757
Americas,Cuba,77.91,21.81,17.3,5.25,37,2.3963053328685953,5.803415824329035,4.3220634367375395,0.2,6.9,-90.69489982081971,0.12,43687,92.46,20.59951202509585,315.03136981526666,47.31613802718717,13.36,833.02,6,8.6,50,83,0.19,1.03,0.11,99,99,88.77315985944857,79.54,78.58,6.580825020791917,8.113758851175632,99,48.7,28.6,99.9,53.47851100099135
Europe,Cyprus,82.01,24.17,7.45,1.28,6,1.623931623931624,2.8205128205128203,2.3076923076923075,-0.09113544372516857,5.6,-71.98977454398894,0.6,1,55.41,33.26495726495726,192.13675213675214,52.77777777777777,4.63,61.63,10.8,5.21,41.43,78,0.49,0.28,1.8004071836618945,88,97,81,19.51,52.51,6.085902462704862,7.531891700971444,93,4,37.1,95.6,53.863431245197006
Europe,Czechia,78.46,21.5,14.83,0.7,4,1.686928658938837,3.3267364056168125,2.657619451512581,0.34671711405043193,5.5,-97.77208394646797,0.39,4,81.13,36.424465177645835,455.50843464329466,44.529262086513995,12.99,979.88,14.2,5.93,42.86,76,0.81,0.18,2.0274738886259014,93,96,86.67748288940163,40.19,69.14648147185027,7.49,6.75,87.61066800444341,11.8,31.9,102.70040516697996,47.12907295863015
South-East Asia,Democratic People's Republic of Korea,71.76,18.61,10.220603917988914,4.38,90,15.254838582521975,27.529662186132683,20.852221214868543,1.3415529831365278,513,0.28,0.53,5214937,132.2,21.628759509637746,357.36134652528676,110.646852457724,10.36,1783.96,4.5,24.09,31.43,71,1.59,1.36,0.9,98,96,80.85854650334909,37.01,45.09672259583611,4.170027304975158,3.99,73,37.54231292949785,19,93.02681314653466,44.243453705953485
Africa,Democratic Republic of the Congo,60.44,16.25,3.81,13.3,481,122.93360089412721,385.1973684210526,297.66942694574277,0.32,323,304.7,1.43,49900757,256.1,17.265291607396872,112.3564824222719,25.997002641739485,6.53,2238.21,1.3,33.67,35.71,41,2.06,59.76,5.27,52.280095081008554,57,58,-7.03213276386381,0.23,0.019,0.051,71,109,12.189757174639123,59.390828401478885,71.51946423981855
Europe,Denmark,80.59,23.16,16.26,1.07,4,3.3963585434173664,4.219187675070028,3.6064425770308124,0.0021672485758823523,5.9,-97.37653944973293,0.79,0,65.04,26.383053221288513,233.0707282913165,84.10364145658264,10.87,478.03,10.4,3.97,51.43,81,0.13,0.31,1.5985658139170869,85,94,94,40.1,103.2,7.44,5.22,89,2.5,20,94.4,16
Eastern Mediterranean,Djibouti,64.64,17.48,4.07,6.92,246,72.39915074309978,139.3842887473461,115.81740976645435,0.22,339,19.81,0.64,110561,244.5,32.462845010615716,165.49893842887474,19.68152866242038,9.32,34.02,0.5,23.79,35.71,47,2.64,31.29,11.73,81,68,68,6.594242991822014,13.518535413380782,1.1440243390933835,1.7500518231137328,65.46075262805671,80.45683733292756,19.06064354117981,74.35747905683135,59.026910293663526
Americas,Dominican Republic,71.75,20.24,15.72,17.93,94,41.05549816884215,59.554887782890404,49.582120386890786,0.29,51,0.15,0.34,970832,160.1,32.94206028735092,251.67621372898867,18.0204714057658,6.36,521.8,6.4,35.43,51.43,74,0.48,2.21,0.24,78.95549839041354,87,30,20.33036394118642,12.07,3.7703860943007546,4.947390199106351,71,48.90087528492042,10.1,99.8,62.11545067529424
Americas,Ecuador,77.18,22.53,10.99,7.6,61,15.636252670125113,29.893194995422643,25.773573390296004,0.17,40,2.48,0.32,1942753,114.2,37.45498931949954,114.77570949038754,20.555386023802257,8.96,590.28,3.9,21.16,45.71,77,0.38,0.64,0.5,64,83,84,20.37,28.54,3.18,5.781794899989336,81,69.7,18.93006223071016,95.9,95
Eastern Mediterranean,Egypt,70.49,17.03,5.06,3.94,38,33.78235742875356,60.885786245022935,52.06763577840713,0.03,14,0,0.8,1673826,164.6,26.628975117307107,256.27292583264534,22.115394663963464,3.2,4767.67,0.2,9.83,50,68,0.22,2,0.2,96,95,84.24183719615385,8.21,19.25,1.86,4.04,94,46.414838666809096,21.3,87.42141930900173,61.63209930099521
Americas,El Salvador,73.25,21.76,20.92,86.27,47,13.601260835303387,27.486209613869192,23.624901497241922,0.18,60,0.009,0.57,742568,176.8,32.19858156028369,118.31363278171787,37.77777777777778,5.72,247.08,3.6,22.2,51.43,76,0.24,2.01,0.77,87,93,90,15.66,18.04,1.43,5.76422595880549,94,39.73434187400486,13.3,99.9,61.00045228777081
Africa,Eritrea,62.29,15.08,2.35,11.56,498,40.96871846619576,97.35620585267407,71.28153380423814,0.14,108,25.64,0.74,1497725,252.1,22.03834510595358,120.58526740665992,21.150353178607467,11.47,133.61,2.2,37.17,28.57,38,3.31,45.56,2.44,88,95,95,5.135459842153576,14.39,0.9369205891800876,1.607665638820468,49,84.78194040617896,7.7,72.0612622312151,63.921402120504865
Europe,Estonia,77.6,21.92,12.42,2.72,11,1.3719512195121952,3.125,2.4390243902439024,0.26752261646893677,16,-88.10218885393378,0.36,9,118.6,14.710365853658535,629.4969512195122,26.6234756097561,15.73,143.54,14.4,6.08,60,75,0.9,0.006,2.0493818781757307,92,93,86.71389372692714,34.55,64.33,9.55,7.32,71,10.5,31.5,99.7,48.83625720287583
Africa,Eswatini,54.05,14.65,7.79,18.97,436,43.782576321667904,133.35815338793745,99.03201787043932,11.31,537,1.12,0.85,198319,393.3,75.65152643335816,155.02606105733435,34.13998510796724,32.84,54.9,8.6,32.41,40,63,3.58,27.89,13.21,76,90,90,0.96,37.7,0.1097877160836469,-0.16551986642400962,64.52641215220157,81.89575341391617,10.8,77.68340036295159,27.07439430429721
Africa,Ethiopia,66.82,18.08,5.02,7.71,422,103.00674784918412,193.2785172309405,136.7938439303536,0.21,177,55.21,2.61,74204513,219.5,17.98775426501177,88.52670331923869,16.043475288809898,5.45,2505.54,1.6,26.38,48.57,39,3.58,43.66,3.53,58.38538805769251,66,61,-0.7041178182368739,2.3287689154092206,-0.03509765585862157,0.6451596890726838,79,100.15682503300253,4.8,27.7,73.11745076452496
Western Pacific,Fiji,67.83,15.99,7.66,2.31,34,21.802002224694107,52.614015572858726,44.38264738598443,0.11,45,-36.551255936653575,0.34,905113,186.2,182.31368186874306,259.2880978865406,40.40044493882091,9.42,56.55,3.6,9.86,28.57,64,0.24,2.89,7,94,99,99,24.54854299274141,46.4774600915846,4.305549259459966,5.1842435515652365,79.8905105328949,23.1,27.1,99.8,53
Europe,Finland,81.21,23.91,13.12,1.31,3,1.3628929674722878,2.4532073414501183,1.9807377793930585,-0.7721255493165615,4.7,-101.45633766859525,1.05,4,70.18,9.900054515718697,359.84008722514994,32.38233690714156,15.24,503.02,11,4.73,51.43,78,0.36,0.036,0.5721980778478288,85,92,87,45.34,145.7,10.54,18.63,90.12732150638448,5.5,20.4,99.9,57.54091742130184
