"",""summerMean"",""summerMax"",""winterMean"",""winterMin"",""augChl"",""febChl""
1,13,18.72,11.75,9.81,11.07,8.88
2,13.38,18.62,11.58,9.74,8.76,8.4
3,13.36,17.86,11.29,9.62,8.36,6.72
4,13.29,17.12,11.13,9.57,4.16,3.73
5,12.81,16.38,11.23,9.62,8.77,8.79
6,12.4,15.97,11.5,9.76,7.59,9.16
7,12.74,16.42,11.86,9.94,10.7,7.98
8,13.72,18.03,12.3,10.16,10.18,9.94
9,13.4,18.99,12.7,10.42,3.73,11.57
10,16.81,20.83,13.5,11.05,7.42,9.75
11,12.53,17.23,13.48,11.14,7.53,6.77
12,19.19,21.59,13.61,11.24,2.29,8.28
13,16.99,20.01,13.55,11.22,5.25,8.2
14,12.79,17.41,13.34,11.03,5.19,7.29
15,14.85,18.37,13.24,10.89,7.04,9.97
16,15.1,19.91,13.84,11.3,1.19,2.18
17,18.8,21.97,13.62,11.15,5.45,10.41
18,18.43,22.9,14.01,11.63,4.33,9.25
19,15.38,20.04,14.42,12.2,4.61,6.05
20,16.43,20.99,14.96,12.75,3.19,5.07
21,18.08,22.63,15.11,13.05,1.55,2.67
22,19.62,23.72,15.05,13.07,2.43,3.48
23,20.76,24.26,14.8,12.74,3.69,2.86
24,21.5,24.84,14.7,12.58,5.46,6.92
25,20.75,24.35,14.78,12.68,4.62,3.5
26,20.12,23.34,15.08,12.69,3.07,3.4
27,22.17,25.11,15.31,12.25,4.76,5.11
28,23,26.32,15.21,12.1,4.84,4.4
29,20.18,25.58,15.16,12.4,3.63,6.16
30,17.61,23.96,15.38,12.72,2.53,5.45
31,18.38,23.67,15.77,13.08,2.96,6.64
32,18.34,21.98,16.03,13.94,6.42,6.6
33,19.27,22.19,16.08,14.47,2.18,4.36
34,23.51,22.35,16.22,14.32,4.31,6.18
35,19.17,22.27,16.31,14.49,2.04,3.34
36,22.59,24.55,16.12,14.3,2.66,4.37
37,20.59,23.54,16.24,14.53,2.29,5.58
38,18.57,22.19,16.4,14.76,2.1,4.85
39,17.92,22.54,16.39,14.61,2.85,3.9
40,19.18,23.39,16.55,14.42,2.29,4.52
41,18.53,23.37,17.23,14.61,1.82,3.67
42,18.61,23.2,17.55,14.9,1.8,3.21
43,19.46,24,17.69,15.3,1.95,2.62
44,20.68,24.93,17.99,15.83,1.65,2.84
45,21.93,25.65,18.54,16.45,1.6,3.11
46,22.64,25.95,19.1,17.04,1.94,2.1
47,22.75,25.77,19.53,17.46,1.4,1.19
48,22.91,26.03,19.42,17.29,1.6,1.13
49,24.27,26.58,20.05,17.65,1.58,1.96
50,24.23,26.52,20.26,18.15,1.42,1.41
51,24.22,26.78,20.22,18.19,1.4,1.45
52,24.12,25.95,19.96,18.08,2.86,2.63
53,24.28,26.02,19.91,18.24,4.39,4.69
54,24.53,26.35,20.19,18.65,2.27,1.69
55,25.22,27.09,20.81,19.36,0.6,0.54
56,26.23,28.09,21.62,20.21,0.48,0.35
57,27.33,29.09,22.36,20.98,0.58,0.32
58,28.46,29.96,22.88,21.54,0.74,0.42